"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.000873400E-2,1.767730713E1,-2.064514160E0,-4.170989990E1,4.534826519E1
4.018085300E-2,1.752624512E1,-2.214050293E0,-4.290924072E1,4.640338593E1
5.986469100E-2,1.587677002E1,-2.064514160E0,-4.140930176E1,4.439667011E1
8.043353900E-2,1.617736816E1,-2.664184570E0,-4.095916748E1,4.411868675E1
1.005751400E-1,1.677703857E1,-2.214050293E0,-4.230957031E1,4.556830897E1
1.207167420E-1,1.542663574E1,-8.636474609E-1,-4.155883789E1,4.433806473E1
1.408583430E-1,1.557617188E1,-1.164245605E0,-4.170989990E1,4.453861637E1
1.609999450E-1,1.692657471E1,-2.514648438E0,-4.170989990E1,4.508379019E1
1.811415470E-1,1.527709961E1,-2.064514160E0,-4.140930176E1,4.418576992E1
2.012831480E-1,1.467590332E1,-2.214050293E0,-4.095916748E1,4.356532518E1
2.214247500E-1,1.647644043E1,-2.214050293E0,-4.335937500E1,4.643716732E1
2.415663510E-1,1.557617188E1,-2.813720703E0,-3.975982666E1,4.279460212E1
2.613722590E-1,1.827697754E1,-2.514648438E0,-4.080963135E1,4.478612928E1
2.818495540E-1,1.332702637E1,-5.645751953E-1,-3.960876465E1,4.179452852E1
3.018996030E-1,1.407623291E1,-2.964782715E0,-3.885955811E1,4.143664472E1
3.221327570E-1,1.587677002E1,-2.514648438E0,-4.140930176E1,4.441987793E1
3.422743590E-1,1.587677002E1,-3.865051270E0,-4.035949707E1,4.354192751E1
3.624159610E-1,1.767730713E1,-2.064514160E0,-4.140930176E1,4.507193892E1
3.825575620E-1,1.512603760E1,-1.914978027E0,-4.185943604E1,4.454970863E1
4.026991640E-1,1.632690430E1,-2.514648438E0,-4.245910645E1,4.555948837E1
4.228407650E-1,1.542663574E1,-1.614379883E0,-4.155883789E1,4.435903876E1
4.429823670E-1,1.557617188E1,-3.114318848E0,-4.216003418E1,4.505313079E1
4.627882750E-1,1.647644043E1,-1.614379883E0,-4.155883789E1,4.473495634E1
4.832655700E-1,1.707611084E1,3.509521484E-2,-4.125976562E1,4.465381342E1
5.034071720E-1,1.407623291E1,-1.313781738E0,-4.050903320E1,4.290510606E1
5.235487730E-1,1.632690430E1,-1.763916016E0,-4.216003418E1,4.524541618E1
5.436903750E-1,1.692657471E1,-1.464843750E0,-4.140930176E1,4.475918867E1
5.638319760E-1,1.467590332E1,-2.964782715E0,-4.050903320E1,4.318742694E1
5.839735780E-1,1.677703857E1,-1.313781738E0,-4.155883789E1,4.483672660E1
6.041151790E-1,1.767730713E1,-2.514648438E0,-4.140930176E1,4.509479921E1
6.242262630E-1,1.452636719E1,-4.464721680E0,-4.005889893E1,4.284465505E1
6.443983820E-1,1.767730713E1,-3.114318848E0,-4.170989990E1,4.540817018E1
6.644179140E-1,1.647644043E1,-2.664184570E0,-4.155883789E1,4.478513119E1
6.846815860E-1,1.617736816E1,-2.214050293E0,-4.185943604E1,4.493129916E1
7.047926700E-1,1.707611084E1,-1.614379883E0,-4.230957031E1,4.565412932E1
7.249647890E-1,1.692657471E1,-2.813720703E0,-3.975982666E1,4.330438513E1
7.451063900E-1,1.647644043E1,-4.014587402E0,-4.230957031E1,4.558168208E1
7.652479920E-1,1.647644043E1,-4.014587402E0,-4.095916748E1,4.433106588E1
7.853895930E-1,1.872711182E1,-1.164245605E0,-4.245910645E1,4.642021009E1
8.055311950E-1,1.557617188E1,-4.150390625E-1,-4.140930176E1,4.424386579E1
8.256727970E-1,1.752624512E1,-2.964782715E0,-4.125976562E1,4.492579954E1
8.457838810E-1,1.707611084E1,-2.664184570E0,-4.425964355E1,4.751428720E1
8.661085880E-1,1.797637939E1,-1.464843750E0,-4.170989990E1,4.544240017E1
8.860060480E-1,1.647644043E1,-2.214050293E0,-4.155883789E1,4.476060896E1
9.062392030E-1,1.842651367E1,-2.664184570E0,-4.185943604E1,4.581317137E1
9.263808040E-1,1.572723389E1,-1.313781738E0,-4.155883789E1,4.445457136E1
9.465224060E-1,1.452636719E1,-1.464843750E0,-3.930969238E1,4.193343566E1
9.666334900E-1,1.767730713E1,-1.164245605E0,-4.275970459E1,4.628428450E1
9.868056090E-1,1.647644043E1,-1.914978027E0,-4.050903320E1,4.377353083E1
1.006916693E0,1.752624512E1,-2.664184570E0,-4.155883789E1,4.518190074E1
1.027088812E0,1.797637939E1,-1.164245605E0,-4.170989990E1,4.543370372E1
1.047230414E0,1.692657471E1,-1.464843750E0,-4.170989990E1,4.503743386E1
1.068257025E0,1.692657471E1,-3.114318848E0,-4.305877686E1,4.637096265E1
1.087513617E0,1.842651367E1,-2.214050293E0,-4.185943604E1,4.578919971E1
1.107655218E0,1.917724609E1,-2.214050293E0,-4.230957031E1,4.650557522E1
1.127796820E0,1.842651367E1,-2.664184570E0,-4.261016846E1,4.650011550E1
1.147938422E0,1.902618408E1,-2.064514160E0,-4.216003418E1,4.630039289E1
1.168080023E0,1.812591553E1,-3.713989258E0,-4.155883789E1,4.549153258E1
1.188252142E0,1.872711182E1,-1.763916016E0,-4.305877686E1,4.698802380E1
1.208363226E0,1.917724609E1,-1.614379883E0,-4.261016846E1,4.675467299E1
1.228504828E0,1.812591553E1,-1.614379883E0,-4.230957031E1,4.605708172E1
1.248646429E0,1.437683105E1,3.509521484E-2,-3.960876465E1,4.213726071E1
1.270374945E0,1.587677002E1,-2.813720703E0,-4.216003418E1,4.513820258E1
1.288960150E0,1.872711182E1,-1.763916016E0,-4.440917969E1,4.822853260E1
1.309071234E0,1.992645264E1,-2.964782715E0,-4.230957031E1,4.686099862E1
1.329212836E0,1.812591553E1,-1.614379883E0,-4.290924072E1,4.660856118E1
1.349354437E0,1.782684326E1,-3.263854980E0,-4.230957031E1,4.602769634E1
1.369496039E0,1.812591553E1,-3.263854980E0,-4.261016846E1,4.642012515E1
1.389637640E0,1.872711182E1,-2.514648438E0,-4.485931396E1,4.867634151E1
1.409779242E0,1.992645264E1,-2.214050293E0,-4.290924072E1,4.736209954E1
1.430073431E0,1.722717285E1,-1.164245605E0,-4.245910645E1,4.583564849E1
1.450123480E0,1.677703857E1,-1.313781738E0,-4.095916748E1,4.428146843E1
1.469868353E0,1.902618408E1,-1.464843750E0,-4.350891113E1,4.750964950E1
1.490376166E0,1.902618408E1,-2.064514160E0,-4.275970459E1,4.684709421E1
1.510517767E0,1.767730713E1,-3.414916992E0,-4.350891113E1,4.708687921E1
1.530659369E0,1.812591553E1,-2.664184570E0,-4.290924072E1,4.665672119E1
1.550800970E0,2.022705078E1,-2.664184570E0,-4.261016846E1,4.724254352E1
1.570942572E0,1.692657471E1,-7.141113281E-1,-4.005889893E1,4.349407166E1
1.591084173E0,1.842651367E1,-5.645751953E-1,-4.425964355E1,4.794550238E1
1.611225775E0,2.007598877E1,-2.514648438E0,-4.245910645E1,4.703344025E1
1.631367377E0,1.992645264E1,-3.713989258E0,-4.290924072E1,4.745587604E1
1.651508978E0,1.902618408E1,-1.164245605E0,-4.305877686E1,4.708937686E1
1.671284369E0,1.872711182E1,-1.763916016E0,-4.380950928E1,4.767692544E1
1.691792181E0,1.932678223E1,-3.114318848E0,-4.411010742E1,4.825893772E1
1.711933783E0,2.007598877E1,-1.464843750E0,-4.380950928E1,4.821269745E1
1.732075384E0,1.962738037E1,-2.514648438E0,-4.170989990E1,4.616571528E1
1.752216986E0,1.827697754E1,-1.464843750E0,-4.411010742E1,4.776918726E1
1.772358588E0,1.827697754E1,-2.514648438E0,-4.305877686E1,4.684473961E1
1.792530707E0,1.842651367E1,-3.263854980E0,-4.470977783E1,4.846806566E1
1.812672308E0,1.917724609E1,-2.664184570E0,-4.261016846E1,4.680268265E1
1.832813910E0,1.992645264E1,-2.214050293E0,-4.425964355E1,4.858890389E1
1.852924994E0,2.127685547E1,-1.914978027E0,-4.290924072E1,4.793302263E1
1.872700384E0,2.082672119E1,-2.664184570E0,-4.290924072E1,4.777083979E1
1.893208197E0,1.902618408E1,-1.464843750E0,-4.216003418E1,4.627753159E1
1.913349798E0,1.992645264E1,-1.914978027E0,-4.230957031E1,4.680630722E1
1.933491400E0,1.932678223E1,-1.464843750E0,-4.350891113E1,4.763082643E1
1.953633002E0,2.052612305E1,-2.664184570E0,-4.290924072E1,4.764055569E1
1.973774603E0,2.082672119E1,-3.713989258E0,-4.261016846E1,4.757281248E1
1.993916205E0,2.082672119E1,-3.263854980E0,-4.425964355E1,4.902367910E1
2.014057806E0,2.157592773E1,-1.914978027E0,-4.395904541E1,4.900597384E1
2.034077338E0,1.962738037E1,-1.763916016E0,-4.350891113E1,4.776369759E1
2.054341009E0,1.962738037E1,-2.064514160E0,-4.275970459E1,4.709446481E1
2.074513129E0,1.902618408E1,-2.813720703E0,-4.350891113E1,4.757034846E1
2.094654730E0,1.917724609E1,-2.664184570E0,-4.290924072E1,4.707512705E1
2.114765814E0,1.947631836E1,-4.014587402E0,-4.335937500E1,4.770198412E1
2.134907416E0,2.112731934E1,6.362915039E-1,-4.305877686E1,4.796693396E1
2.155049017E0,1.917724609E1,-1.614379883E0,-4.290924072E1,4.702739552E1
2.175190619E0,1.782684326E1,-2.664184570E0,-4.290924072E1,4.654134892E1
2.195362738E0,1.827697754E1,-1.464843750E0,-4.350891113E1,4.721460604E1
2.215504339E0,1.812591553E1,-1.313781738E0,-4.230957031E1,4.604752519E1
2.235645941E0,1.872711182E1,-3.114318848E0,-4.411010742E1,4.802192495E1
2.255787543E0,1.767730713E1,-2.064514160E0,-4.305877686E1,4.659192709E1
2.275868109E0,1.947631836E1,-2.664184570E0,-4.335937500E1,4.760735507E1
2.296040228E0,2.007598877E1,-3.414916992E0,-4.245910645E1,4.709015506E1
2.315815619E0,1.782684326E1,-2.214050293E0,-4.125976562E1,4.500074020E1
2.336414984E0,1.947631836E1,-3.263854980E0,-4.290924072E1,4.723539632E1
2.356434515E0,1.797637939E1,-2.064514160E0,-4.245910645E1,4.615396142E1
2.376637152E0,1.767730713E1,-4.164123535E0,-4.350891113E1,4.714713629E1
2.396748236E0,1.932678223E1,-2.514648438E0,-4.440917969E1,4.849766189E1
2.416889838E0,1.932678223E1,-2.813720703E0,-4.245910645E1,4.673561014E1
2.437031439E0,1.887664795E1,-4.014587402E0,-4.425964355E1,4.828416715E1
2.457173041E0,1.797637939E1,-3.114318848E0,-4.350891113E1,4.717917492E1
2.477314642E0,1.767730713E1,-3.114318848E0,-4.140930176E1,4.513221068E1
2.497456244E0,2.007598877E1,-2.813720703E0,-4.411010742E1,4.854548307E1
2.517597845E0,1.812591553E1,-1.614379883E0,-4.155883789E1,4.536840357E1
2.537739447E0,1.827697754E1,-2.813720703E0,-4.140930176E1,4.535080158E1
2.557881048E0,1.842651367E1,-4.014587402E0,-4.230957031E1,4.632227389E1
2.578022650E0,1.992645264E1,-1.614379883E0,-4.395904541E1,4.829148383E1
2.598164252E0,2.022705078E1,-2.964782715E0,-4.125976562E1,4.604662614E1
2.618305853E0,1.917724609E1,-4.014587402E0,-4.290924072E1,4.717082381E1
2.638447455E0,1.962738037E1,-4.164123535E0,-4.350891113E1,4.791241314E1
2.658589056E0,1.962738037E1,-2.064514160E0,-4.216003418E1,4.655066875E1
2.678730658E0,1.932678223E1,-3.114318848E0,-4.350891113E1,4.771004969E1
2.698872259E0,1.842651367E1,-3.263854980E0,-4.261016846E1,4.653832411E1
2.719044379E0,1.752624512E1,-2.664184570E0,-4.290924072E1,4.642704047E1
2.739155463E0,1.962738037E1,-3.414916992E0,-4.035949707E1,4.500871829E1
2.759297064E0,1.947631836E1,-1.914978027E0,-4.261016846E1,4.688945056E1
2.779408148E0,1.902618408E1,-4.164123535E0,-4.170989990E1,4.603315496E1
2.799549750E0,1.842651367E1,-2.664184570E0,-4.230957031E1,4.622482045E1
2.819691351E0,1.782684326E1,-3.263854980E0,-4.335937500E1,4.699451554E1
2.839832953E0,2.052612305E1,-3.713989258E0,-4.290924072E1,4.771077848E1
