"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.798235700E-2,2.397613525E1,-1.526489258E1,-4.395904541E1,5.234758524E1
3.803240600E-2,2.592620850E1,-1.601409912E1,-4.216003418E1,5.202007439E1
5.826556000E-2,2.442626953E1,-1.571502686E1,-4.350891113E1,5.231280971E1
7.843767900E-2,2.442626953E1,-1.601409912E1,-4.411010742E1,5.290364440E1
9.857928100E-2,2.607727051E1,-1.556396484E1,-4.500885010E1,5.429601851E1
1.207045250E-1,2.487640381E1,-1.571502686E1,-4.411010742E1,5.302357129E1
1.388624840E-1,2.442626953E1,-1.601409912E1,-4.440917969E1,5.315326194E1
1.590040860E-1,2.517700195E1,-1.706390381E1,-4.545898438E1,5.469531516E1
1.791456870E-1,2.517700195E1,-1.601409912E1,-4.590911865E1,5.475381241E1
1.992872890E-1,2.397613525E1,-1.526489258E1,-4.365997314E1,5.209669147E1
2.209547690E-1,2.487640381E1,-1.436462402E1,-4.275970459E1,5.151281614E1
2.395704920E-1,2.442626953E1,-1.406402588E1,-4.380950928E1,5.209330639E1
2.597120930E-1,2.607727051E1,-1.721496582E1,-4.335937500E1,5.344543466E1
2.799452480E-1,2.637634277E1,-1.616363525E1,-4.335937500E1,5.326358947E1
2.999952970E-1,2.592620850E1,-1.406402588E1,-4.485931396E1,5.368727186E1
3.200148280E-1,2.517700195E1,-1.436462402E1,-4.305877686E1,5.190647469E1
3.402785000E-1,2.562713623E1,-1.721496582E1,-4.365997314E1,5.347240797E1
3.604201010E-1,2.352600098E1,-1.541442871E1,-4.305877686E1,5.143088176E1
3.805311850E-1,2.427673340E1,-1.616363525E1,-4.425964355E1,5.300508406E1
4.007033040E-1,2.532653809E1,-1.451416016E1,-4.470977783E1,5.339530513E1
4.208449060E-1,2.412719727E1,-1.646423340E1,-4.275970459E1,5.178402230E1
4.409559900E-1,2.757720947E1,-1.736450195E1,-4.411010742E1,5.484277516E1
4.612501790E-1,2.367706299E1,-1.526489258E1,-4.290924072E1,5.133052889E1
4.812391930E-1,2.442626953E1,-1.646423340E1,-4.275970459E1,5.192404030E1
5.014113120E-1,2.397613525E1,-1.481475830E1,-4.425964355E1,5.247140338E1
5.219191250E-1,2.352600098E1,-1.571502686E1,-4.515991211E1,5.329026602E1
5.416639980E-1,2.412719727E1,-1.496429443E1,-4.440917969E1,5.270888916E1
5.618055990E-1,2.262725830E1,-1.526489258E1,-4.261016846E1,5.060272937E1
5.825575520E-1,2.487640381E1,-1.496429443E1,-4.380950928E1,5.255510135E1
6.020888020E-1,2.502593994E1,-1.661376953E1,-4.365997314E1,5.299536077E1
6.222304040E-1,2.502593994E1,-1.691436768E1,-4.395904541E1,5.333658385E1
6.432264980E-1,2.502593994E1,-1.556396484E1,-4.500885010E1,5.379898938E1
6.625441250E-1,2.487640381E1,-1.406402588E1,-4.411010742E1,5.255790965E1
6.826857260E-1,2.487640381E1,-1.571502686E1,-4.411010742E1,5.302357129E1
7.038954430E-1,2.367706299E1,-1.616363525E1,-4.530944824E1,5.361727815E1
7.229384120E-1,2.397613525E1,-1.556396484E1,-4.395904541E1,5.243557701E1
7.430800130E-1,2.427673340E1,-1.481475830E1,-4.635925293E1,5.438765651E1
7.645338710E-1,2.412719727E1,-1.601409912E1,-4.380950928E1,5.251519896E1
7.833937340E-1,2.472686768E1,-1.526489258E1,-4.425964355E1,5.294668052E1
8.035048180E-1,2.532653809E1,-1.661376953E1,-4.425964355E1,5.363177153E1
8.250197110E-1,2.397613525E1,-1.451416016E1,-4.561004639E1,5.353309479E1
8.437880210E-1,2.532653809E1,-1.721496582E1,-4.365997314E1,5.332899619E1
8.639601400E-1,2.352600098E1,-1.781463623E1,-4.380950928E1,5.282146428E1
8.841017420E-1,2.292633057E1,-1.451416016E1,-4.155883789E1,4.963279647E1
9.042433430E-1,2.382659912E1,-1.601409912E1,-4.411010742E1,5.262945728E1
9.243544270E-1,2.472686768E1,-1.451416016E1,-4.425964355E1,5.273513893E1
9.444960290E-1,2.487640381E1,-1.646423340E1,-4.350891113E1,5.275350032E1
9.646681480E-1,2.352600098E1,-1.646423340E1,-4.411010742E1,5.263311961E1
9.848097500E-1,2.412719727E1,-1.601409912E1,-4.305877686E1,5.189057027E1
1.004951351E0,2.502593994E1,-1.526489258E1,-4.530944824E1,5.396536589E1
1.025062435E0,2.517700195E1,-1.571502686E1,-4.440917969E1,5.341365684E1
1.045204037E0,2.592620850E1,-1.496429443E1,-4.411010742E1,5.330853564E1
1.065376156E0,2.427673340E1,-1.556396484E1,-4.261016846E1,5.145117338E1
1.085517757E0,2.442626953E1,-1.571502686E1,-4.245910645E1,5.144298234E1
1.105628841E0,2.637634277E1,-1.691436768E1,-4.530944824E1,5.508859584E1
1.125770443E0,2.532653809E1,-1.526489258E1,-4.425964355E1,5.322937652E1
1.145942562E0,2.607727051E1,-1.556396484E1,-4.261016846E1,5.232482675E1
1.166084164E0,2.382659912E1,-1.646423340E1,-4.275970459E1,5.164465261E1
1.186225765E0,2.397613525E1,-1.451416016E1,-4.290924072E1,5.125152531E1
1.206336849E0,2.352600098E1,-1.406402588E1,-4.245910645E1,5.053756292E1
1.226478451E0,2.412719727E1,-1.601409912E1,-4.485931396E1,5.339411080E1
1.246650570E0,2.262725830E1,-1.526489258E1,-4.230957031E1,5.034987094E1
1.266792172E0,2.487640381E1,-1.571502686E1,-4.485931396E1,5.364844438E1
1.286903256E0,2.532653809E1,-1.451416016E1,-4.530944824E1,5.389842740E1
1.307411068E0,2.487640381E1,-1.496429443E1,-4.350891113E1,5.230478871E1
1.327461117E0,2.442626953E1,-1.646423340E1,-4.245910645E1,5.167677762E1
1.347694271E0,2.427673340E1,-1.481475830E1,-4.395904541E1,5.235680014E1
1.367835873E0,2.352600098E1,-1.541442871E1,-4.485931396E1,5.294747760E1
1.387977474E0,2.547607422E1,-1.601409912E1,-4.380950928E1,5.314842266E1
1.408119076E0,2.412719727E1,-1.601409912E1,-4.411010742E1,5.276622590E1
1.428260677E0,2.307739258E1,-1.541442871E1,-4.380950928E1,5.185984732E1
1.448402279E0,2.412719727E1,-1.601409912E1,-4.305877686E1,5.189057027E1
1.468543881E0,2.292633057E1,-1.421508789E1,-4.395904541E1,5.157599277E1
1.488532894E0,2.277679443E1,-1.571502686E1,-4.305877686E1,5.118400823E1
1.508827084E0,2.082672119E1,-1.526489258E1,-4.185943604E1,4.918314392E1
1.528999203E0,2.502593994E1,-1.616363525E1,-4.261016846E1,5.199218432E1
1.549110287E0,2.367706299E1,-1.661376953E1,-4.500885010E1,5.350156294E1
1.569237496E0,2.412719727E1,-1.496429443E1,-4.545898438E1,5.359637130E1
1.589379098E0,2.397613525E1,-1.586456299E1,-4.470977783E1,5.315546683E1
1.609520699E0,2.427673340E1,-1.481475830E1,-4.290924072E1,5.147853715E1
1.629662301E0,2.427673340E1,-1.661376953E1,-4.335937500E1,5.239668427E1
1.649803903E0,2.262725830E1,-1.721496582E1,-4.335937500E1,5.184962166E1
1.669945504E0,2.277679443E1,-1.571502686E1,-4.411010742E1,5.207154703E1
1.690087106E0,2.427673340E1,-1.526489258E1,-4.530944824E1,5.362203679E1
1.710228707E0,2.442626953E1,-1.571502686E1,-4.350891113E1,5.231280971E1
1.730400826E0,2.397613525E1,-1.526489258E1,-4.365997314E1,5.209669147E1
1.750542428E0,2.487640381E1,-1.496429443E1,-4.411010742E1,5.280593860E1
1.770684030E0,2.607727051E1,-1.691436768E1,-4.425964355E1,5.408360120E1
1.790795114E0,2.397613525E1,-1.586456299E1,-4.365997314E1,5.227554567E1
1.810967233E0,2.397613525E1,-1.586456299E1,-4.425964355E1,5.277741438E1
1.831078317E0,2.232666016E1,-1.556396484E1,-4.290924072E1,5.081259386E1
1.851128365E0,2.412719727E1,-1.571502686E1,-4.440917969E1,5.292692091E1
1.871361520E0,2.487640381E1,-1.541442871E1,-4.440917969E1,5.318472825E1
1.891503121E0,2.667694092E1,-1.616363525E1,-4.335937500E1,5.341308530E1
1.911644723E0,2.397613525E1,-1.421508789E1,-4.261016846E1,5.091709184E1
1.931816842E0,2.412719727E1,-1.436462402E1,-4.350891113E1,5.178309974E1
1.951927926E0,2.412719727E1,-1.496429443E1,-4.440917969E1,5.270888916E1
1.972069528E0,2.307739258E1,-1.541442871E1,-4.411010742E1,5.211403110E1
1.992211129E0,2.517700195E1,-1.541442871E1,-4.545898438E1,5.420336982E1
2.012352731E0,2.472686768E1,-1.481475830E1,-4.261016846E1,5.144435348E1
2.032494332E0,2.502593994E1,-1.586456299E1,-4.335937500E1,5.251682996E1
2.052605416E0,2.322692871E1,-1.586456299E1,-4.290924072E1,5.130670049E1
2.072747018E0,2.412719727E1,-1.571502686E1,-4.485931396E1,5.330517579E1
2.092888619E0,2.532653809E1,-1.481475830E1,-4.425964355E1,5.310203991E1
2.113030221E0,2.277679443E1,-1.496429443E1,-4.305877686E1,5.095851977E1
2.133202340E0,2.322692871E1,-1.481475830E1,-4.425964355E1,5.213332263E1
2.153282907E0,2.277679443E1,-1.601409912E1,-4.275970459E1,5.102573931E1
2.173455026E0,2.442626953E1,-1.676483154E1,-4.380950928E1,5.288643799E1
2.193596627E0,2.607727051E1,-1.481475830E1,-4.500885010E1,5.408602119E1
2.213738229E0,2.427673340E1,-1.421508789E1,-4.230957031E1,5.080874185E1
2.233879830E0,2.427673340E1,-1.616363525E1,-4.500885010E1,5.363226152E1
2.254021432E0,2.427673340E1,-1.556396484E1,-4.335937500E1,5.207333470E1
2.274163033E0,2.622680664E1,-1.436462402E1,-4.350891113E1,5.279406366E1
2.294304635E0,2.667694092E1,-1.526489258E1,-4.365997314E1,5.339353310E1
2.314354684E0,2.412719727E1,-1.541442871E1,-4.275970459E1,5.145987366E1
2.334618356E0,2.397613525E1,-1.481475830E1,-4.425964355E1,5.247140338E1
2.354729440E0,2.352600098E1,-1.466369629E1,-4.515991211E1,5.298975724E1
2.374840524E0,2.472686768E1,-1.616363525E1,-4.335937500E1,5.246633673E1
2.395012643E0,2.397613525E1,-1.526489258E1,-4.470977783E1,5.297958325E1
2.415154244E0,2.472686768E1,-1.586456299E1,-4.425964355E1,5.312267305E1
2.435295846E0,2.517700195E1,-1.646423340E1,-4.485931396E1,5.401213251E1
2.455467965E0,2.517700195E1,-1.571502686E1,-4.515991211E1,5.403944076E1
