Time (s),Bx (µT),By (µT),Bz (µT),Bt (µT)
2.00E-02,1.77E+01,-2.06E+00,-4.17E+01,4.53E+01
4.02E-02,1.75E+01,-2.21E+00,-4.29E+01,4.64E+01
5.99E-02,1.59E+01,-2.06E+00,-4.14E+01,4.44E+01
8.04E-02,1.62E+01,-2.66E+00,-4.10E+01,4.41E+01
1.01E-01,1.68E+01,-2.21E+00,-4.23E+01,4.56E+01
1.21E-01,1.54E+01,-8.64E-01,-4.16E+01,4.43E+01
1.41E-01,1.56E+01,-1.16E+00,-4.17E+01,4.45E+01
1.61E-01,1.69E+01,-2.51E+00,-4.17E+01,4.51E+01
1.81E-01,1.53E+01,-2.06E+00,-4.14E+01,4.42E+01
2.01E-01,1.47E+01,-2.21E+00,-4.10E+01,4.36E+01
2.21E-01,1.65E+01,-2.21E+00,-4.34E+01,4.64E+01
2.42E-01,1.56E+01,-2.81E+00,-3.98E+01,4.28E+01
2.61E-01,1.83E+01,-2.51E+00,-4.08E+01,4.48E+01
2.82E-01,1.33E+01,-5.65E-01,-3.96E+01,4.18E+01
3.02E-01,1.41E+01,-2.96E+00,-3.89E+01,4.14E+01
3.22E-01,1.59E+01,-2.51E+00,-4.14E+01,4.44E+01
3.42E-01,1.59E+01,-3.87E+00,-4.04E+01,4.35E+01
3.62E-01,1.77E+01,-2.06E+00,-4.14E+01,4.51E+01
3.83E-01,1.51E+01,-1.91E+00,-4.19E+01,4.45E+01
4.03E-01,1.63E+01,-2.51E+00,-4.25E+01,4.56E+01
4.23E-01,1.54E+01,-1.61E+00,-4.16E+01,4.44E+01
4.43E-01,1.56E+01,-3.11E+00,-4.22E+01,4.51E+01
4.63E-01,1.65E+01,-1.61E+00,-4.16E+01,4.47E+01
4.83E-01,1.71E+01,3.51E-02,-4.13E+01,4.47E+01
5.03E-01,1.41E+01,-1.31E+00,-4.05E+01,4.29E+01
5.24E-01,1.63E+01,-1.76E+00,-4.22E+01,4.52E+01
5.44E-01,1.69E+01,-1.46E+00,-4.14E+01,4.48E+01
5.64E-01,1.47E+01,-2.96E+00,-4.05E+01,4.32E+01
5.84E-01,1.68E+01,-1.31E+00,-4.16E+01,4.48E+01
6.04E-01,1.77E+01,-2.51E+00,-4.14E+01,4.51E+01
6.24E-01,1.45E+01,-4.46E+00,-4.01E+01,4.28E+01
6.44E-01,1.77E+01,-3.11E+00,-4.17E+01,4.54E+01
6.64E-01,1.65E+01,-2.66E+00,-4.16E+01,4.48E+01
6.85E-01,1.62E+01,-2.21E+00,-4.19E+01,4.49E+01
7.05E-01,1.71E+01,-1.61E+00,-4.23E+01,4.57E+01
7.25E-01,1.69E+01,-2.81E+00,-3.98E+01,4.33E+01
7.45E-01,1.65E+01,-4.01E+00,-4.23E+01,4.56E+01
7.65E-01,1.65E+01,-4.01E+00,-4.10E+01,4.43E+01
7.85E-01,1.87E+01,-1.16E+00,-4.25E+01,4.64E+01
8.06E-01,1.56E+01,-4.15E-01,-4.14E+01,4.42E+01
8.26E-01,1.75E+01,-2.96E+00,-4.13E+01,4.49E+01
8.46E-01,1.71E+01,-2.66E+00,-4.43E+01,4.75E+01
8.66E-01,1.80E+01,-1.46E+00,-4.17E+01,4.54E+01
8.86E-01,1.65E+01,-2.21E+00,-4.16E+01,4.48E+01
9.06E-01,1.84E+01,-2.66E+00,-4.19E+01,4.58E+01
9.26E-01,1.57E+01,-1.31E+00,-4.16E+01,4.45E+01
9.47E-01,1.45E+01,-1.46E+00,-3.93E+01,4.19E+01
9.67E-01,1.77E+01,-1.16E+00,-4.28E+01,4.63E+01
9.87E-01,1.65E+01,-1.91E+00,-4.05E+01,4.38E+01
1.01E+00,1.75E+01,-2.66E+00,-4.16E+01,4.52E+01
1.03E+00,1.80E+01,-1.16E+00,-4.17E+01,4.54E+01
